name,category,base,overlay,tags,master_svg,theme_svg_pattern,png_pattern
user_remove,user,user,remove,user;remove,svg/master/user_remove.svg,svg/{theme}/user_remove.svg,png/{theme}/{size}/user_remove.png
user_delete,user,user,delete,user;delete,svg/master/user_delete.svg,svg/{theme}/user_delete.svg,png/{theme}/{size}/user_delete.png
user_edit,user,user,edit,user;edit,svg/master/user_edit.svg,svg/{theme}/user_edit.svg,png/{theme}/{size}/user_edit.png
user_search,user,user,search,user;search,svg/master/user_search.svg,svg/{theme}/user_search.svg,png/{theme}/{size}/user_search.png
user_check,user,user,check,user;check,svg/master/user_check.svg,svg/{theme}/user_check.svg,png/{theme}/{size}/user_check.png
user_warning,user,user,warning,user;warning,svg/master/user_warning.svg,svg/{theme}/user_warning.svg,png/{theme}/{size}/user_warning.png
user_info,user,user,info,user;info,svg/master/user_info.svg,svg/{theme}/user_info.svg,png/{theme}/{size}/user_info.png
user_lock,user,user,lock,user;lock,svg/master/user_lock.svg,svg/{theme}/user_lock.svg,png/{theme}/{size}/user_lock.png
user_unlock,user,user,unlock,user;unlock,svg/master/user_unlock.svg,svg/{theme}/user_unlock.svg,png/{theme}/{size}/user_unlock.png
user_upload,user,user,upload,user;upload,svg/master/user_upload.svg,svg/{theme}/user_upload.svg,png/{theme}/{size}/user_upload.png
user_download,user,user,download,user;download,svg/master/user_download.svg,svg/{theme}/user_download.svg,png/{theme}/{size}/user_download.png
user_sync,user,user,sync,user;sync,svg/master/user_sync.svg,svg/{theme}/user_sync.svg,png/{theme}/{size}/user_sync.png
user_share,user,user,share,user;share,svg/master/user_share.svg,svg/{theme}/user_share.svg,png/{theme}/{size}/user_share.png
user_settings,user,user,gear,user;settings,svg/master/user_settings.svg,svg/{theme}/user_settings.svg,png/{theme}/{size}/user_settings.png
